SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
PoolConstruction,,PoolConstruction,X911836,PoolConstruction,15,Long,0,1,LookupMulti,Left,0,,POOL_TYPES,11,,1,,,0,,,0,,,,,
PoolDescriptions,,PoolDescriptions,X47488336,PoolDescriptions,15,Long,0,1,LookupMulti,Left,0,,POOL_FEATURES,27,,1,,,0,,,0,,,,,
DistanceToBeachInMiles,,DistanceToBeachInMiles,X3846696,DistanceToBeachInMiles,11,Decimal,,1,Number,Right,1,,,,,1,,,0,,,0,,,,,
Area,ListingArea,Area,X117301,Area,15,Long,0,1,Lookup,Left,0,,AREA,4976,,1,,,0,,,0,,,,,
AreaOther,,AreaOther,X40706468,AreaOther,100,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
CityOther,,CityOther,X40706460,CityOther,100,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
DirectionFaces,,DirectionFaces,X117160,DirectionFaces,15,Long,0,1,LookupMulti,Left,0,,VIEW_EXPOSURE,24,,1,,,0,,,0,,,,,
DrivingDirections,Directions,DrivingDirections,X117087,DrivingDirections,250,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
IsSignOnPropertyYN,,IsSignOnPropertyYN,X911882,IsSignOnPropertyYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
LotLocation,,LotLocation,X117123,LotLocation,15,Long,0,1,LookupMulti,Left,0,,LOCATION,115,,1,,,0,,,0,,,,,
OtherStructuralFeatures,,OtherStructuralFeatures,X40706516,OtherStructuralFeatures,15,Long,0,1,LookupMulti,Left,0,,OTHER_STRUCTURAL_FEATURES,31,,1,,,0,,,0,,,,,
SchoolDistrict,,SchoolDistrict,X911896,SchoolDistrict,15,Long,0,1,Lookup,Left,0,,SCHOOL_DISTRICTS,2467,,1,,,0,,,0,,,,,
TaxLegalLotNumber,,TaxLegalLotNumber,X117260,TaxLegalLotNumber,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
TaxLegalTractNumber,,TaxLegalTractNumber,X40706494,TaxLegalTractNumber,40,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
TaxParcelNumber,,TaxParcelNumber,X117261,TaxParcelNumber,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
UnitLocation,,UnitLocation,X40706523,UnitLocation,10,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
View,,View,X40706474,View,15,Long,0,1,LookupMulti,Left,0,,VIEW,51,,1,,,0,,,0,,,,,
Latitude,Latitude,Latitude,X116748,Latitude,32,Decimal,12,1,Number,Right,1,,,,,1,-99999.999999,99999.999999,0,,,0,,,,,
Longitude,Longitude,Longitude,X116754,Longitude,32,Decimal,12,1,Number,Right,1,,,,,1,-99999.999999,99999.999999,0,,,0,,,,,
ThomasGuideFullMapString,,ThomasGuideFullMapString,X40707005,ThomasGuideFullMapString,60,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ThomasGuideMapPage,,ThomasGuideMapPage,X40707002,ThomasGuideMapPage,10,Int,0,1,Number,Right,0,,,,,1,-2147483648,2147483647,0,,,0,,,,,
ThomasMapXLetter,,ThomasMapXLetter,X40707025,ThomasMapXLetter,4,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ThomasMapYNumber,,ThomasMapYNumber,X40707028,ThomasMapYNumber,4,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
MatchCode,,MatchCode,X116652,MatchCode,15,Long,0,1,Lookup,Left,0,,VALIDATION_STATUSES,18,,1,,,0,,,0,,,,,
GeocodeOverrideYN,,GeocodeOverrideYN,X101310873,GeocodeOverrideYN,1,Boolean,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
